idx,sample_id,image_path,fake_cls,gt_answers,label,ateeq_score_ft
0,train_000000,/real/bbc_test_500/bbc_test_0.png,original,True,0,0.53209615
1,train_000001,/real/bbc_test_500/bbc_test_1.png,original,True,0,0.19332561
2,train_000002,/real/bbc_test_500/bbc_test_2.png,original,True,0,0.7688216
3,train_000003,/real/bbc_test_500/bbc_test_3.png,original,True,0,0.21277997
4,train_000004,/real/bbc_test_500/bbc_test_4.png,original,True,0,0.7624254
5,train_000005,/real/bbc_test_500/bbc_test_5.png,original,True,0,0.036947154
6,train_000006,/real/bbc_test_500/bbc_test_6.png,original,True,0,0.8603542
7,train_000007,/real/bbc_test_500/bbc_test_7.png,original,True,0,0.3679619
8,train_000008,/real/bbc_test_500/bbc_test_8.png,original,True,0,0.05295296
9,train_000009,/real/bbc_test_500/bbc_test_9.png,original,True,0,0.17535517
10,train_000010,/real/bbc_test_500/bbc_test_10.png,original,True,0,0.11448746
11,train_000011,/real/bbc_test_500/bbc_test_11.png,original,True,0,0.41721982
12,train_000012,/real/bbc_test_500/bbc_test_12.png,original,True,0,0.7463503
13,train_000013,/real/bbc_test_500/bbc_test_13.png,original,True,0,0.3029315
14,train_000014,/real/bbc_test_500/bbc_test_14.png,original,True,0,0.80013454
15,train_000015,/real/bbc_test_500/bbc_test_15.png,original,True,0,0.24981251
16,train_000016,/real/bbc_test_500/bbc_test_16.png,original,True,0,0.6887066
17,train_000017,/real/bbc_test_500/bbc_test_17.png,original,True,0,0.59083754
18,train_000018,/real/bbc_test_500/bbc_test_18.png,original,True,0,0.76588863
19,train_000019,/real/bbc_test_500/bbc_test_19.png,original,True,0,0.2666294
20,train_000020,/real/bbc_test_500/bbc_test_20.png,original,True,0,0.44552055
21,train_000021,/real/bbc_test_500/bbc_test_21.png,original,True,0,0.45544583
22,train_000022,/real/bbc_test_500/bbc_test_22.png,original,True,0,0.035658784
23,train_000023,/real/bbc_test_500/bbc_test_23.png,original,True,0,0.37961575
24,train_000024,/real/bbc_test_500/bbc_test_24.png,original,True,0,0.15826306
25,train_000025,/real/bbc_test_500/bbc_test_25.png,original,True,0,0.44388103
26,train_000026,/real/bbc_test_500/bbc_test_26.png,original,True,0,0.15135609
27,train_000027,/real/bbc_test_500/bbc_test_27.png,original,True,0,0.5739961
