id,geo_match,geo_max,geo_top_in_cap,n_locs,has_gpe
216004,0.9840332269668579,0.7454875707626343,1.0,2,1
1085856,0.5,0.5,0.5,0,0
1169411,0.5,0.5,0.5,0,0
1117864,0.9922014474868774,0.9922014474868774,1.0,1,1
324716,0.5,0.5,0.5,0,0
1263756,0.9961101412773132,0.9961101412773132,1.0,1,1
55579,0.9998376369476318,0.9998376369476318,1.0,1,1
175689,0.5,0.5,0.5,0,0
377331,0.5,0.5,0.5,0,0
1080239,0.9986176490783691,0.9986176490783691,1.0,1,1
325372,0.5,0.5,0.5,0,0
138950,0.653990626335144,0.653990626335144,1.0,1,1
1186810,0.5,0.5,0.5,0,0
717838,0.9998255968093872,0.9996278285980225,1.0,2,1
90420,0.975343644618988,0.8283891081809998,1.0,2,1
727128,0.9371557831764221,0.9371557831764221,1.0,1,1
1230684,0.9858620166778564,0.9858620166778564,1.0,1,1
1446242,0.5,0.5,0.5,0,0
157951,0.5,0.5,0.5,0,0
1121248,0.5,0.5,0.5,0,0
386612,0.5,0.5,0.5,0,0
1072771,0.9999648332595825,0.9992662072181702,1.0,2,1
157771,0.7294264435768127,0.7294264435768127,1.0,1,1
1082113,0.5,0.5,0.5,0,0
1528375,0.9999922513961792,0.9999922513961792,1.0,1,1
533252,0.5,0.5,0.5,0,0
1516212,0.5,0.5,0.5,0,0
323043,0.5,0.5,0.5,0,0
420533,0.9257621169090271,0.9257621169090271,1.0,1,1
697323,0.5,0.5,0.5,0,0
764025,0.9947926998138428,0.9730318784713745,1.0,2,1
299918,0.9649694561958313,0.9649694561958313,1.0,1,1
1241537,0.8512917160987854,0.8512917160987854,1.0,1,1
352363,0.5,0.5,0.5,0,0
583032,0.5,0.5,0.5,0,0
616449,0.5,0.5,0.5,0,0
1238561,0.5,0.5,0.5,0,0
768726,0.5,0.5,0.5,0,0
416683,0.9991902709007263,0.9991902709007263,1.0,1,1
1550118,0.5,0.5,0.5,0,0
1538392,0.9989393353462219,0.9989393353462219,1.0,1,1
388829,0.9660231471061707,0.9660231471061707,1.0,1,1
1487790,0.5,0.5,0.5,0,0
1025001,0.9798160791397095,0.9798160791397095,1.0,1,1
250193,0.5,0.5,0.5,0,0
139658,0.9879336953163147,0.9879336953163147,1.0,1,1
569284,0.5162575244903564,0.5162575244903564,1.0,1,1
194837,0.9714797139167786,0.9714797139167786,1.0,1,1
1038347,0.5,0.5,0.5,0,0
542372,0.5,0.5,0.5,0,0
189946,0.5,0.5,0.5,0,0
1052865,0.9370223879814148,0.4725935757160187,1.0,2,1
896922,0.5,0.5,0.5,0,0
331578,0.5,0.5,0.5,0,0
941008,0.9703364372253418,0.9703364372253418,1.0,1,1
389881,0.9282384514808655,0.9282384514808655,1.0,1,1
663646,0.5,0.5,0.5,0,0
1190151,0.5,0.5,0.5,0,0
868146,0.5,0.5,0.5,0,0
55255,0.5,0.5,0.5,0,0
244840,0.9906788468360901,0.9906788468360901,1.0,1,1
668476,0.20503012835979462,0.20503012835979462,0.0,1,1
307050,0.971668541431427,0.971668541431427,1.0,1,1
438540,0.5,0.5,0.5,0,0
717607,0.9885755181312561,0.9794649481773376,1.0,2,1
1182822,0.5,0.5,0.5,0,0
1148967,0.9987377524375916,0.9987377524375916,1.0,1,1
690318,0.5,0.5,0.5,0,0
1548833,0.9908576607704163,0.9908576607704163,1.0,1,1
55059,0.9998320937156677,0.9763167500495911,1.0,2,1
284622,0.5,0.5,0.5,0,0
279289,0.9993225336074829,0.9993225336074829,1.0,1,1
623544,0.5,0.5,0.5,0,0
626067,0.6749075055122375,0.6749075055122375,1.0,1,1
1615464,0.8529683947563171,0.8529683947563171,1.0,1,1
